Date,Close/Last,Volume,Open,High,Low
04/29/2021,54.86,74062200,55.93,56.115,53.29
04/28/2021,54.315,59475000,54.695,55.2,53.9851
04/27/2021,54.88,59656300,55.735,55.835,54.385
04/26/2021,55.61,49988320,54.655,55.735,54.275
04/23/2021,54.53,53941860,52.86,55.16,52.86
04/22/2021,52.55,87424120,54.335,54.815,51.97
04/21/2021,54.535,55528580,52.5,54.615,52.01
04/20/2021,53.19,79141880,54.025,54.66,52.195
04/19/2021,54.38,79584100,55.075,55.685,53.375
04/16/2021,55.905,58743960,55.955,55.995,54.95
04/15/2021,55.67,60399040,54.685,55.885,54.62
04/14/2021,53.315,80613720,55.395,55.465,52.88
04/13/2021,55.255,57511020,54.19,55.5,54.06
04/12/2021,53.425,54815980,53.15,53.62,52.49
04/09/2021,53.635,64719100,52.01,53.73,51.66
04/08/2021,52.68,56809660,52.46,52.77,52.05
04/07/2021,51.085,49493520,50.515,51.49,50.05
04/06/2021,50.71,60303420,50.68,51.64,50.355
04/05/2021,50.83,65269860,49.105,51.19,48.9857
04/01/2021,47.95,72543660,47.3175,48.015,47.21
03/31/2021,45.63,80984340,44.395,46.3,44.255
03/30/2021,43.67,74174880,43.475,43.895,42.48
03/29/2021,44.3,95294580,44.12,44.77,42.86
03/26/2021,44.325,107530240,42.36,44.485,41.765
03/25/2021,42.45,119937200,41.91,43.09,40.825
03/24/2021,42.68,95241860,45.545,45.56,42.625
03/23/2021,44.95,93890380,46.025,46.615,44.585
03/22/2021,45.545,70550580,44.145,46.435,44.145
03/19/2021,43.24,96643280,42.625,43.775,41.7
03/18/2021,42.695,114754900,44.805,45.25,42.475
03/17/2021,47.01,98185300,45.06,47.865,44.305
03/16/2021,46.425,84385120,46.67,47.995,45.8
03/15/2021,45.675,63669760,44.405,45.755,43.69
03/12/2021,44.26,83294960,43.585,44.335,42.535
03/11/2021,45.39,79467860,44.51,46.13,44.07
03/10/2021,42.445,101685620,44.63,44.75,42.155
03/09/2021,42.81,86714540,41.2335,43.575,40.965
03/08/2021,38.3,117865760,41.64,42.425,38.135
03/05/2021,41.88,168328300,41.145,42.235,37.515
03/04/2021,40.085,216018600,41.985,43.32,38.44
03/03/2021,42.17,115771300,45.685,46.1,42.1225
03/02/2021,46.175,75846580,48.77,48.8425,46.05
03/01/2021,48.5,66853520,46.68,48.6539,46.095
02/26/2021,44.61,104659180,45.1925,46.58,43.125
02/25/2021,43.95,118895940,47.81,49.035,43.225
02/24/2021,49.075,61520920,46.62,49.235,45.45
02/23/2021,47.92,99637420,45.89,48.68,43.21
02/22/2021,48.35,66367440,50.27,50.9,48.25
02/19/2021,52.41,46688640,53.82,53.84,51.93
02/18/2021,53.11,55101000,52.03,53.48,51.14
02/17/2021,53.835,53321560,53.115,53.97,52.005
02/16/2021,54.595,44331880,55.48,55.9299,54.04
02/12/2021,55.055,38735860,53.79,55.15,53.22
02/11/2021,54.135,49430000,54.08,54.37,52.98
02/10/2021,53.275,61773960,54.39,54.6,51.73
02/09/2021,53.655,32884440,53.24,54.285,53.24
02/08/2021,53.68,38497500,53.48,53.7751,52.6743
02/05/2021,52.65,43307640,52.6,53.145,51.785
02/04/2021,52.105,36404460,51.02,52.15,50.375
02/03/2021,50.325,47586020,51.965,52.115,50.325
02/02/2021,50.91,46373280,49.945,51.48,49.88
02/01/2021,48.56,52829740,46.775,49.015,45.87
01/29/2021,45.235,92139240,47.45,47.96,44.375
01/28/2021,48.24,45010860,47.945,50.5,47.675
01/27/2021,47.54,94450360,50.63,50.65,46.5
01/26/2021,51.71,45484480,51.86,52.29,51.0875
01/25/2021,51.655,76585120,51.88,52.5341,48.4
01/22/2021,50.26,40939380,50.205,50.76,49.94
01/21/2021,50.72,46341640,50.125,51.07,49.5
01/20/2021,49.49,60868160,47.9275,49.9425,47.765
01/19/2021,46.265,60483680,45.3625,46.5175,44.9
01/15/2021,44.3425,70845960,45.3525,45.7825,43.77
01/14/2021,45.4475,59117800,46.375,46.835,45.24
01/13/2021,46.15,54375000,45.3925,46.5475,45.126
01/12/2021,45.27,73015720,45.53,46.0025,44.1
01/11/2021,45.4675,70651160,46.2025,46.735,45.2025
01/08/2021,47.57,76407640,46.8275,47.72,45.85
01/07/2021,45.795,61847560,43.8425,46.1625,43.8375
01/06/2021,42.71,105365280,42.475,44.585,42.055
01/05/2021,44.5525,59356200,43.07,44.6388,43.07
01/04/2021,43.4625,98736080,46.02,46.097,41.7075
12/31/2020,45.45,53354080,45.0675,45.62,44.5825
12/30/2020,45.0975,52403480,45.6125,45.75,44.8175
12/29/2020,45.105,60571360,45.5875,45.85,44.7025
12/28/2020,44.9725,58526520,44.79,45.1887,44.0075
12/24/2020,43.6625,38532888,43.2275,43.86,43.18
12/23/2020,43.1025,59717200,43.76,43.94,43.045
12/22/2020,43.7625,81004400,43.825,44.1775,42.5438
12/21/2020,43.42,101798360,42.3925,43.655,41.17
12/18/2020,43.5825,84378040,44.39,44.4775,42.6325
12/17/2020,44.0625,69637720,43.9125,44.1688,43.3975
12/16/2020,43.1775,68795240,42.6925,43.5625,42.245
12/15/2020,42.465,78991400,42.145,42.5025,41.23
12/14/2020,41.185,73342240,40.8075,42.0125,40.7925
12/11/2020,40.325,84909800,39.9125,40.3825,38.975
12/10/2020,40.61,86673280,39.26,41.0667,38.815
12/09/2020,40.1175,122439360,42.96,43.065,39.655
12/08/2020,42.9975,66962880,42.4125,43.17,41.6525
12/07/2020,42.6075,62013880,41.975,42.755,41.9
12/04/2020,41.8975,63544040,41.4,41.96,41.1275
12/03/2020,41.39,78730840,41.3225,42.0475,41.0878
12/02/2020,41.2225,73064640,40.5525,41.3603,39.795
12/01/2020,41.0575,85397800,40.4475,41.7375,40.025
